Company,Email
BDA International Associates,info@bdacapitalmarkets.com
Magna Financial,info@magnafinancial.com
ADN CAPITAL,hello@adncapital.co.uk
InvestorHub,contact@investorhub.com
Ampere,support@ampere.co.uk
AV8 Ventures,info@av8.vc
Covercy,support@covercy.com
Munoz Ghezlan & Co. Ltd.,office@munoz.ltd
Heritage Holdings,info@heritageholdings.co
Cardea Capital,contact@cardeacap.com
Microfon,info@microfon.co
InfraCo Africa,info@infracoafrica.com
IncubEx,info@theincubex.com
GreenPoint Partners,info@greenpointpartners.com
Development Partners International (DPI),info@dpi-llp.com
Genesis Ventures,info@genesisventures.vc
"Sustainable Development Capital, LLP (SDCL)",info@sdclgroup.com
SLM Partners,info@slmpartners.com
Markov Processes International (MPI),info@markovprocesses.com
CV5 Capital,info@cv5capital.io
Bippit®,info@bippit.com
2150,hello@2150.vc
"Altum Capital Management, LLC",info@altumcredit.com
Ananda Impact Ventures,info@ananda.vc
9Yards Capital,info@9yardscapital.com
Laka,hello@laka.co
"Bay Street Advisors, LLC",info@baystreetadvisorsllc.com
Auriemma Group,info@auriemma.group
Capital Engine®,support@capitalengine.io
Christofferson Robb & Company,info@christoffersonrobb.com
OMFIF,enquiries@omfif.org
Southeastern Asset Management,info@seasset.com
M Capital Group (MCG),info@mcapital-group.com
Portage,info@portageinvest.com
Choose Love,contact@choose.love
Ultimate Risk Solutions,info@ultirisk.com
C James - Recruitment & Search,info@c-james.com
Afterbanks Arcopay,info@arcopay.io
Winvesta,support@winvesta.in
TFY by TRANSFORMIFY,sales@transformify.org
HealthCare Royalty,info@hcrx.com
Odin,hello@joinodin.com
Globiance,contact@globiance.com
Blue Earth Capital AG,info@blueearth.capital
DES Capital,info@des-capital.com
Climate Asset Management,contact@climateassetmanagement.com
QuantumLight,info@quantumlightcapital.com
Financial Divisions,info@financialdivisions.co.uk
ICC United Kingdom,info@iccwbo.uk
Regulation Asia,support@regulationasia.com
AInsurCo,info@ainsurco.com
London Venture Capital Network,info@londonvcnetwork.com
Mortgage Solutions,info@ae3media.co.uk
Lendable,info@lendable.io
Mintago,contact@mintago.com
InsTech,hello@instech.co
Finch Capital,info@finchcapital.com
Concept Ventures,hello@conceptventures.vc
Enness Global,info@enness.co.uk
Camco,info@camco.energy
Future Planet Capital,info@futureplanetcapital.com
Arab-British Chamber of Commerce,info@abcc.org.uk
Servca,info@servca.com
Oxbow Partners,info@oxbowpartners.com
Finance & Leasing Association,info@fla.org.uk
Coolabah Capital Investments,info@coolabahcapital.com
Vujis,hello@vujis.com
Wealthyhood,hello@wealthyhood.com
Womankind Worldwide,hello@womankind.org.uk
MultiPass,info@multipass.co
Innovation Forum,info@innovation-forum.co.uk
Klink Finance,support@klinkfinance.com
FAIRR Initiative,contact@fairr.org
Absolute Strategy Research Ltd,info@absolute-strategy.com
FINTRAIL,contact@fintrail.com
London Capital Group,sales@lcg.com
Acre,sales@acresoftware.com
TalkRemit,info@talkremit.com
Pfida,info@pfida.com
The Housing Finance Corp. Ltd.,info@thfcorp.com
"Vinter, a Kaiko company",sales@vinter.co
noa,info@noa.vc
International Securities Lending Association (ISLA),support@islaemea.org
CCL Academy,info@cclacademy.co.uk
KOIS,info@koisinvest.com
Heligan Group,info@heligangroup.com
Wunder Fund,info@wunderfund.io
Mayfair Equity Partners LLP,info@mayfairequity.com
L1 Capital,support@cm.mpms.mufg.com
TRAction,info@tractionfintech.com
Glenhawk,hello@glenhawk.com
Synergy Capital,info@synergycapital.co.uk
Quant Insight,info@quant-insight.com
Venturebeam,info@venturebeam.com
Brooklands Fund Management Limited,info@brooklandsfund.com
Vindician Capital,office@vindician.com
HANetf,info@hanetf.com
Claret Capital Partners,info@claret-capital.com
Augusta & Co,info@augustaco.com
XY Capital,info@xycapitalgroup.com
SwiftXccess,info@swiftxccess.com
1707 Capital,hello@1707-capital.com
Carbon Trade eXchange (CTX),info@ctxglobal.com
Ocean 14 Capital,contact@ocean14capital.com
The Mills Fabrica,contact@themillsfabrica.com
The Power of Nutrition,info@powerofnutrition.org
fscom,info@fscom.co
Brandon Capital,info@brandoncapital.com.au
Scientific Infra & Private Assets (SIPA),support@sipametrics.com
Elevation,info@elevationadvisors.co.uk
ASK Partners,info@askpartners.co.uk
Laz Partners,info@lazpartners.com
Gore Street Capital,info@gorestreetcap.cominfo@gorestreetcap.com
Haruko,hello@haruko.io
Fundsmith LLP UK,enquiries@fundsmith.co.uk
Empire Global Finance,info@empireglobal.co.uk
Airmic (Association for Insurance & Risk),enquiries@airmic.com
Acquired.com,sales@acquired.com
IUA,info@iua.co.uk
NACFB,admin@nacfb.org.uk
Origin Markets,info@originmarkets.com
Amesto Global,info@cookieinformation.com
Fremman Capital,info@fremman.com
Itarle,sales@itarle.com
Block Dojo,hello@blockdojo.io
HQLAᵡ,info@hqla-x.com
KNG,info@kngsecurities.com
Magellan Capital,contact@magellancap.com
PLATIO,info@platio.io
Aptivaa,info@aptivaa.com
FinCrime World Forum,info@grcworldforums.com
Isomer Capital,hello@isomercapital.com
COVID-19 Actuaries Response Group,info@covidactuaries.org
Link: LGBTQ+ Insurance Network,enquiries@lgbtinsurancenetwork.co.uk
Mouro Capital,info@mourocapital.com
Pantheon Macroeconomics,info@pantheonmacro.com
TangoPay,support@tangopay.co.uk
LCM Partners,info@lcmpartners.eu
Evenco International,info@evencointernational.com
Tower Peak Partners,info@tower-peak.com
Carmoola,support@carmoola.co.uk
Pensions and Lifetime Savings Association,enquiries@plsa.co.uk
Bluewater,info@bluewaterpe.com
Centre for Disaster Protection,info@disasterprotection.org
Horizon Capital,team@horizoncapital.co.uk
Steadview Capital,inquiries@steadview.com
Global Infrastructure Investor Association (GIIA),info@giia.net
Previse,help@previ.se
RUUT,support@ruutapp.com
Seqos Capital,info@seqoscapital.de
FSB Insurance Service,enquiries@fsbis.co.uk
Integrum ESG,contact@integrumesg.com
Eleos - Embedded Life Insurance,help@eleos.co.uk
Finance Earth,hello@finance.earth
Blend Network,contact@blendnetwork.com
DFI,contact@deutsche-finance.de
The Analyst,info@theanalyst.co.uk
Yemnak,contact@yemnak.ae
Aaro Capital,info@aaro.capital
Nigel Sloam & Co,info@nigelsloam.co.uk
Hays Mews Capital,info@haysmewscapital.com
Fire,sales@fire.com
iprism Underwriting,info@iprism.co.uk
Leatherback,info@leatherback.co
Baker Ing,admin@bakering.global
Proportunity,contact@proportunity.com
Heron Financial | B Corp ™️,info@heronfinancial.co.uk
Avamore Capital,enquiries@avamorecapital.com
Quickers Venture,hello@quickers.com
Illuminate Financial,info@illuminatefinancial.com
IG4 Capital,contact@ig4capital.com
Greyhound Capital,contact@greyhoundcapital.com
shipshape.vc,info@shipshape.vc
Square 4 Partners,hello@square4.com
PeoplePay Global,info@peoplepayglobal.com
Azura Partners,contact@azura.com
Boundlesspay (Adaverse ‘23),support@boundlesspay.com
Spectrum,info@spectrumfx.co.uk
FXD Capital,enquiries@fxdcapital.com
xpate,info@xpate.com
Access Financial Services,info@accessfs.co.uk
Baron & Cabot,hello@refive.ch
Investbridge Capital,contact@ib-cap.com
Algeria British Business Council,office@abbc.org.uk
HUNDLE,hello@hundle.co
C5 Capital,enquiries@c5capital.com
London LGPS CIV Limited,info@londonciv.org.uk
Balfour Capital Group,info@emipix.dev
Red Ribbon Asset Management Plc,enquiries@redribbon.gi
Aethel Partners,info@aethelpartners.com
Club Vita,enquiries@clubvita.net
